id,term,definition
12,Automated susceptibility testing system," an automated, computerized system developed for the detection of the sensitivity of organisms to one or more antimicrobial agents. Basic scientific and laboratory concepts and theories: concepts and theories applied by staff during the performance of sample analyses. Examples include the effects of temperature on samples and organisms; the principles of acids, bases, and pH; molarity; accuracy and precision; sensitivity and specificity; the different wavelengths of light (and uses in the laboratory); the concepts behind different kinds of microscopy; the science behind distillation, filtration, extraction, and chromatography; and the principles of polymerase chain reaction (PCR), sequencing, enzyme-linked immunosorbentassay (ELISA), whole genome sequencing (WGS) and other techniques."
13,Auxiliary data, data from an external source
14,Batch, a sequenced grouping of both test samples and all associated quality control samples required by a testing method.
15,Biohazardous materials," infectious agents or hazardous biological materials that present a risk or potential risk to the health of humans, animals, or the environment. The risk can be direct through infection or indirect through damage to the environment. Biohazardous materials include certain types of recombinant DNA; organisms and viruses infectious to humans, animals, or plants (e.g., parasites, viruses, bacteria, fungi, prions, and rickettsia); and biologically active agents (e.g., toxins, allergens, and venoms) that can cause disease in living organisms or cause significant impact to the environment genetically modified organisms or microorganisms, viruses, or prions). These materials are not necessarily pathogenic or hazardous. Examples include, but are not limited to, cellular lines, DNA materials, tissues, organs, body fluids, cultured cells, allergens, and select agents and toxins."
16,Biosecurity,"the discipline addressing the security of biological agents and toxins and the threats posed to human and animal health, the environment, and the economy by misuse or release. It includes the protection of microbial agents, biological materials, and research-related information from unauthorized possession, loss, theft, misuse, diversion, or intentional release."
17,Budgeting,the process of developing plans for the laboratory’s anticipated income and expenditures.
18,Capital budgeting,the process of planning funding for long-lived assets such as equipment and buildings.
19,Category A infectious substance," an infectious substance that is transported in a form that is capable of causing permanent disability or life-threatening or fatal disease to otherwise healthy humans or animals when exposure to the substance occurs. Examples include Bacillus anthracis (cultures only), Clostridium botulinum (cultures only), Hepatitis B virus (cultures only), West Nile virus (cultures only), and hemorrhagic fever-causing viruses such as the Ebola and Lassa viruses (in any form)."
20,Category B infectious substance," an infectious substance not transported in a form generally capable of causing permanent disability or life-threatening or fatal disease in otherwise healthy humans or animals when exposure to the substance occurs. This includes Category B infectious substances transported for diagnostic or investigational purposes. Examples include Vibrio cholera, Hepatitis A virus, Epsilon toxin of Clostridium perfringens, and food safety threats such as Salmonella species and Campylobacter jejuni."
21,Certification, an approval process by which a third party gives written assurance that a service or person conforms to specified requirements. 
22,Chain of custody," procedures and the unbroken chain of documentation that account for the integrity of an item of evidence by tracking its movement, location, and possession from its point of collection to its final disposition."
23,Change control," 1) a structured method of revising any policy, process, or procedure; 2) a process for implementing changes to software or other information technology (IT) solutions using a coordinated approach."
24,Change management," a process to support moving from a current state through a transition state to a future state. From a process perspective, it is a structured method of revising any policy, process, or procedure (also referred to as Change Control). This includes activities such as transition planning and the design of hardware and software. It also includes revisions to all associated documents and records. From a personnel perspective, it is an approach to transitioning persons, teams, and organizations to a desired future state."
25,Chemical concepts," basic concepts and theories related to chemicals and their characteristics that staff should be able to apply in performing their job responsibilities. Examples include the principles of acids, bases, and pH; the theories underlying distillation, filtration, extraction, and chromatography; optical techniques; enzymes and rate analysis; principles of immunochemical techniques; principles of molecular biology; and the types of environmental media (e.g., water, soil, food, and animal feed) and the chemicals commonly found in each. "
26,Chemical hygiene plan," a written program developed and implemented by the organization that outlines procedures, equipment, personal protective equipment, and work practices that are capable of protecting staff from the health hazards presented by hazardous chemicals used in that particular workplace. "
27,Chemical materials," substances with a distinct molecular composition that are produced by, or used in, chemical processes. Chemicals can be present in the laboratory as solids, liquids, mists, vapors, or gases."
28,Coaching, a specific behavior modification technique to improve another person’s performance quantitatively and qualitatively.
29,Communication methods," methods that include in-person and virtual meetings, phone calls, and electronic methods (e.g., e-mail, social media, podcasts, and webinars)."
30,Communication technology," the means by which information is exchanged between persons through the application of technical processes, methods, or knowledge (e.g., the use of e-mail, web-based presentations, or social media)."
31,Computer science domains," subfields of computer science that can be directly applied to biological problems such as artificial intelligence, image processing, pattern recognition, data mining, knowledge representation, and natural language processing."
32,Confidentiality," a principle regarding the preservation of authorized restrictions on the access and disclosure of information, including means for protecting personal privacy and proprietary information. However, “confidentiality” is not synonymous with “privacy” (the right of a person to keep his or her information private)."
33,"Confidentiality, Integrity, and Availability (CIA)"," a compound term that refers to the following three elements: Confidentiality: preserving authorized restrictions on the access and disclosure of information, including means for protecting personal privacy and proprietary information;Integrity: guarding against improper information modification or destruction, and includes ensuring information nonrepudiation and authenticity; Availability: ensuring timely and reliable access to, and use of, information"
34,Continuity of Operations Plan (COOP)," a operational plan that details how essential functions of an agency will be handled during a wide range of emergencies or situations that might disrupt normal operations, including localized acts of nature, accidents, and technological or attack-related emergencies."
35,Continuous Quality Improvement (CQI), a recurring activity to increase the ability to fulfill quality requirements. CQI includes the actions taken throughout an organization to increase the effectiveness and efficiency of activities and processes in order to provide added benefits to the customer and organization.
36,Contract," a legally binding agreement between two parties for the purpose of obtaining goods or services. Contracts often contain specific obligations for both payor and recipient; and, there is usually significant programmatic involvement by the payor during the performance of the activities. Typically, dollars are drawn down as services defined in the agreement are performed."
37,Contractual instruments," documents that include Service Level Agreements (SLA), memoranda of understanding (MOU), memoranda of agreement (MOA), contracts with IT and other vendors, and data exchange agreements with data exchange partners."
38,Control measures, methods used to eliminate or reduce the potential for exposure to a hazard.
39,Corrective action," action that eliminates the cause(s) of a detected nonconforming event or other undesirable situation. Corrective action is taken to prevent recurrence, whereas preventive action is taken to prevent occurrence."
40,Cost of quality," the total of the tangible and intangible costs incurred by investing in the prevention of nonconforming events according to requirements, appraising a product or service for conformance to requirements, and reworking products or services to conform to requirements."
41,Critical surveillance event, a situation in which there is an active surveillance system for a specified reason and period usually initiating an urgent and highly controlled systematic process. There is a significant need for use of staff and resources to support the determination of the agent at the center of the event. 
42,Critical thinking," the thought processes used to conceptualize and evaluate information, and to the practice of using conclusions to guide individual and organizational behavior. Critical thinking involves clarifying goals, examining assumptions, discerning hidden values, evaluating evidence, and assessing conclusions."
43,Customer," an organization or person that receives a product or service. Examples include consumers, clients, end users, retailers, beneficiary purchasers, patients, and health-care providers. A customer can be internal or external to the organization. Laboratory staff may be regarded as internal customers."
44,Data structure," an organized form, such as an array list or string, in which connected data items are held in a computer. Decontamination"
45,Decontamination," the process of reducing or eliminating biologic, radioactive, or chemical agents from a surface or space. Decontamination includes disinfection and sterilization. "
46,Diversity," the inclusion of different types of persons in a group or organization. Differing elements or qualities might include race, ethnicity, sex, sexual orientation, socioeconomic status, age, physical abilities, religious beliefs, political beliefs, or other ideologies."
47,Data verification," a process during which data entered or stored in a system are checked to ensure accuracy, completeness and consistency with source date "
48,Documents," paper-based or electronic media that communicate information. Generally, documents need to be updated periodically and require revision control."
49,eLearning," learning that utilizes electronic technologies to access training and educational curriculum outside of a traditional classroom. In many cases, it refers to a course, program or degree delivered completely online, though delivery can also include videotape, DVD, and interactive television. "
50,Electronic laboratory reporting (ELR)," the automated transmission of laboratory-related data from commercial, public health, hospital, and other laboratories to state and local public health departments through an electronic health records (EHR) system or a Laboratory Information Management System (LIMS)."
51,Emergency alarm, a piece of equipment and/or device designed to inform staff that an emergency exists or to signal the presence of a hazard requiring urgent attention.
52,Emergency communication plan, a plan that is used during the response and recovery phases of an emergency or surge event to effectively and efficiently communicate with all staff internally and with emergency response personnel and the public externally.
53,Emergency preparedness and response networks," international, national, regional, and local networks that collaborate to provide emergency preparedness and response capabilities. "
54,Emergency response plan," a written plan that details step-by-step procedures to follow in emergencies such as fire, external chemical spills, or a major accident. An emergency response plan also includes information such as whom to notify, who should do what, and the location of emergency stocks."
55,Engineering controls," methods to remove a hazard or to place a protective barrier between the worker and the workplace hazard, which usually involves specialized equipment and elements of building design. Examples include safety equipment (e.g., biosafety cabinets), facility egress, and directional airflow."
56,Environmental controls," the conditions within a laboratory facility that accommodate the correct performance of laboratory testing. Examples of environmental controls are lighting, humidity, temperature, and floor space clearance."
57,Equal Employment Opportunity (EEO)," policies and practices in employment and other areas that prohibit discrimination against an applicant or employee on the basis of race, color, sex (including pregnancy), age, religion, national origin, mental or physical disability, or genetic information. The International Labour Standards on Equality of opportunity and treatment provides international recommendations (International Labour Standards on Equality of opportunity and treatment (ilo.org))"
58,Equipment qualification plan," a plan that addresses the three steps of laboratory equipment qualification (i.e., installation qualification, operational qualification, and performance qualification). Laboratory staff must perform the equipment performance qualification, and the equipment manufacturer may perform the installation qualification and operational qualification."
59,Ethical conduct in research," the application of rules and professional codes of conduct that promote the aims of research, encourage essential collaborations, ensure researchers are accountable and promote moral and social values. These principles include honesty in conducting and reporting research, objectivity, integrity, carefulness, openness, respect for intellectual property, confidentiality, responsible authorship and peer review, social responsibility, nondiscrimination, competence, legality, animal welfare, and protection of human subjects."
60,Ethical practices," values and standards such as personal accountability and credibility, honesty, fairness, forthrightness, striving for excellence, transparency, impartiality, respect for colleagues and partners, relationship building, diversity and inclusiveness, social responsibility, environmental responsibility, upholding privacy and confidentiality, and adhering to policies regarding conflict of interest."
61,Examination (analytical phase)," a set of operations (analyses) having the objective of determining the value or characteristics of a property or sample, ending when the postexamination phase begins."
62,Exchange networks,
63,Exposure event," a specified set of conditions in which a person or group is subject to a harmful substance that is a potential cause of disease or an altered health state (e.g., a laboratory accident occurs causing workers to be exposed to radiation)."
64,Exposure monitoring, a record of any measurements taken to monitor staff exposures and any medical consultation and examinations (including tests or written opinions).
65,Exposure prevention, a process that involves evaluating the incident response procedures to ensure that actions taken during the response do not result in hazardous exposures.
66,External assessment," a system to ensure compliance, competency, accuracy and precision of test system components, environment, and operator performance through evaluation by external groups or comparison using external samples. Examples include external audits and proficiency testing."
67,Formative assessment, the gathering of information or data about a training course or program that is used to guide improvements in teaching and learning. Formative assessment takes place before the training implementation and includes such activities as pilot-testing.
68,Good facilities maintenance and repair," procedures; procedures related to the maintenance and management of the facilities, property, and equipment of an institution. Good housekeeping procedures prevent accidents and reduce the risk of harmful exposures to all laboratory and service staff."
69,Grant," a legally binding agreement between two parties usually for the purpose of transferring money, property, or services to a recipient, though it can also be used to procure products or services. Grants usually involve minimal programmatic involvement by the grantor. Typically, monies are given in a lump sum at the start of the agreement or according to a set disbursement schedule."
70,Hazardous chemical, any chemical which is classified as a health hazard 
71,Hazard communication," a written program that conveys information concerning hazards. Hazard communication includes, but is not limited to, use of safety signage, Safety Data Sheets (SDS), and other written sources describing hazards of a material or space."
72,Hazard control, methods used to eliminate or reduce the potential for exposures to a hazard.
73,Hazardous material alert," an alert triggered by use of a hazardous material or safety equipment that requires either a notification (e.g., a label or signage) and/or a response (e.g., clean up or safety precaution)."
74,Hazardous materials," solids, liquids, gases, or radioactive substances that can harm persons, other living organisms, property, or the environment."
75,Hazardous spill," a breach of a substance from its container (e.g., can, jar, drum, vessel, or pipe) in some fashion in the environment or community that results in exposure to high concentrations of toxic substances; situations that are life or injury threatening; imminent danger to life and health (IDLH) environments; situations that present an oxygen deficient atmosphere; conditions that pose fire or explosion hazards; situations that require evacuation of the area; and/or situations that require immediate attention because of the danger posed to persons in the area. The properties of the hazardous substance, the circumstances of the release, and the mitigating factors in the work area combine to define the distinction between a release requiring an emergency response and one that does not. Incident  an unexpected event that causes or has the potential to cause loss, injury, illness, unsafe conditions, or disruptions to normal procedures."
76,Incident Management System (IMS)," The standardized structure and approach that WHO has adopted to manage its response to public health events and emergencies, and to ensure that the Organization follows best practice in emergency management. WHO has adapted the Incident Management System to consist of six critical functions. Leadership, Partner Coordination, Information and Planning, Health Operations and Technical Expertise, Operations Support and Logistics, and Finance and Administration"
77,Information," knowledge derived from study, experience, instruction, communication, intelligence, or news. It includes resources and materials that are created and distributed, including graphs or charts. Information also includes knowledge of specific events or situations that has been gathered or received."
78,Information security," the protection of information and information systems from unauthorized access, use, disclosure, disruption, modification, or destruction in order to provide confidentiality, integrity, and availability (CIA). Information security measures include backup systems, passwords, and shredding of sensitive information before disposal."
79,Institutional safety committee," a group comprising a cross- section of staff members and other stakeholders with the goal of establishing or monitoring work practices to ensure worker safety, compliance, and awareness with regard to a specific or general workplace hazard. Examples include local committees such as the safety committee, radiation safety committee, institutional animal care and use committee, institutional review board, and environmental programs advisory panel."
80,Instructional design," the systematic development of instructional specifications using learning and instructional theory to maximize the quality of instruction, making the acquisition of knowledge and skill more efficient, effective, and appealing. Instructional design is the entire process of analysis of learning needs and goals and the development of a delivery system to meet those needs."
81,Integration engine,  software that works as a go-between for different systems.
82,Internal audit," an activity carried out by laboratory staff that verifies laboratory operations adhere to the requirements of the management system, the customer, and/or regulatory agencies. Inventory record is  a record that tracks the quantity, form, location, and disposition of any biologic, chemical, or radiological material in use, stored, or disposed of in a laboratory."
83,Knowledge management (KM)," the process of organizing, accessing, and leveraging a laboratory’s intellectual resources and information systems to generate value-added benefits internal and external to the laboratory."
84,Laboratory-developed test (LDT)," an in vitro device (IVD) that is intended for clinical use and designed, manufactured, and used within a single laboratory. LDTs are not approved or cleared by the U.S. Food and Drug Administration (FDA). Laboratory equipment is  the wide array of manual and automated machines (including instrumentation) used to perform sample preparation and analyses. This includes simple equipment (e.g., incubators, centrifuges, balances, water baths) and complex equipment (e.g., PCR machines, sequencers, mass spectrometers, multi-channel analyzers, ELISA readers). "
85,Laboratory facility," the physical spaces within a health laboratory building, including office spaces; meeting and conference rooms; areas where food is stored, prepared, or eaten; and areas where pre-examination, examination, and postexamination testing activities are performed. This also includes areas where laboratory supplies and reagents are stored, prepared, cleaned, and sterilized."
86,Laboratory Information Management System (LIMS)," a collection of software/computerized methods that offers a set of critical features that support a laboratory’s operations, including the acquisition, analysis, storage, and reporting of laboratory data. A LIMS is a highly configurable application that is customized to facilitate a wide variety of models for laboratory testing workflow. Sometimes referred to as LIS (Laboratory Information System)."
87,Laboratory program," an organizational activity (e.g., quality assurance, safety, system improvement, training) or component that covers a major laboratory discipline (e.g., environmental chemistry, microbiology, newborn screening, environmental microbiology, molecular biology), which might include more than one laboratory section."
88,Learning environment," the physical and emotional states that the learner brings to the learning endeavor, as well as the social setting that the student finds in the learning space."
89,Legacy data system, an old or outmoded system being maintained because it contains historical data or other useful business intelligence.
90,Licensing," a documented approval process usually granted by governments (national or regional) to entities such as hospitals, laboratories, and persons to conduct a specific scope of activities within relevant jurisdictions."
91,Licensure," the official “permission to practice” for staff of defined occupations and professions. Licensure is often granted through a professional body or regulatory agency comprising advanced practitioners who oversee the applications for licenses. This often involves accredited training and examinations, but varies a great deal for different activities."
92,Lifecycle management strategy," the continuous process of managing the laboratory’s IT investments and its procedures for testing, modifying, and implementing changes to existing computing systems, including hardware, software, documentation, and installing new systems throughout the lifecycle."
93,Logical structure," an introduction, supporting information, and conclusion."
94,MALDI-TOF, matrix-assisted laser desorption/ionization-time of flight. An analytical technique used to detect and characterize mixtures of organic molecules. 
95,Manual identification methods," various biochemical tests that are manually performed and used to identify bacteria, yeast and fungi. These tests may be performed either singly, such as spot tests or tube biochemicals (e.g., catalase, oxidase, indole, Triple Sugar Iron [TSI], or motility), or combined into multiple panels distributed commercially as strips or cards."
96,Manual susceptibility testing methods, various materials containing specific concentrations of antibiotics that are manually applied to media that has been plated with a specific concentration of an organism. The presence or absence of growth around the antibiotic disc or strip after incubation is measured and interpreted to determine the susceptibility of the organism to the antibiotic. Examples include the Kirby-Bauer method and Epsilometer test (E-test).
97,Master record," a record containing a comprehensive profile and other details about a person, material, or organization associated with the laboratory."
98,Medical surveillance program," the ongoing, systematic collection of health data that signal either biomarkers of exposure or early signs of adverse health outcomes from known biologic, chemical, and radiological materials and toxicants in persons working with those materials. This includes a program for pre-employment screening, ongoing monitoring, and postexposure management."
99,Memoranda of agreement (MOA)," documents describing in detail the specific responsibilities of, and actions to be taken by, specific parties so that goals might be accomplished."
100,Memoranda of understanding (MOU)," documents that describe broad concepts of mutual understanding, goals, and plans shared by parties."
101,Mentoring," a developmental partnership between a staff member and a subject matter expert for the purposes of sharing technical information, institutional knowledge, and insight with respect to a particular occupation, profession, organization, or endeavor. Typically, a mentor is a more experienced and knowledgeable person providing guidance to a mentee who is a less experienced and knowledgeable person. "
102,Message type," the kind of a message communicated between systems that specifies its name, structure, and content data type."
103,Microbiological concepts and theories," concepts and theories that relate to characteristics of microorganisms and infectious agents that staff should be able to apply in performing their job responsibilities. Examples include taxonomy, pathogenic versus nonpathogenic microorganisms, incubation period, containment, principles of microbial culture, detection limits, antimicrobial susceptibility, and medium and mode of disease transmission."
104,Model laboratory practices," activities and processes integral to the provision of laboratory testing services that optimize the quality of the result. These practices are guided by certain industry standards and are adopted by a laboratory to maximize safety, effectiveness, efficiency, timeliness, and public health/ community outcomes. These practices are usually independent of the test or measurement techniques employed. In the recent past, these practices were referred to as “best practices,” but it is now acknowledged that there is not one collection of best practices for each laboratory or situation. Module is  a software component that is part of a larger enterprise software system and performs a specific, independent, and interchangeable function of the larger system."
105,National Select Agent Program," a program that oversees the possession, use, and transfer of biological select agents and toxins. "
106,Nonconforming event (NCE)," an event that does not fulfill a requirement. Other terms frequently used include accident, adverse event, discrepancy, error, incident, nonconformity, and occurrence. "
107,Notifiable result," a result generated by a laboratory from a sample related to an infectious disease or organism, hazardous agent, or condition that when identified by a laboratory, must be reported by the laboratory to specified public health entities as set forth under local, national or international law."
108,Occupational Safety and Health Administration, the national agency charged with the enforcement of safety and health legislation.
109,Outbreak," the occurrence of more cases of disease, injury, or other health condition than expected in a given area or among a specific group of persons during a specific period. Usually, the cases are presumed to have a common cause or to be related to one another in some way. Sometime the cases are distinguished from an epidemic as being more localized. "
110,Personal hygiene procedures," practices performed by persons that serve to promote or preserve health when working in the laboratory. Examples include washing hands after working with potentially hazardous materials and before leaving the laboratory; not eating, drinking, smoking, handling contact lenses, applying cosmetics, or storing food for human consumption in the laboratory; and not mouth pipetting."
111,Personal protective equipment (PPE)," items worn by laboratory workers to prevent direct exposure to hazardous materials. Examples include gloves, gowns, aprons, laboratory coats, containment suits, shoe covers, eye and face shields, respirators, and masks."
112,Personnel security concepts," activities pursued in an attempt to evaluate a person’s suitability for a given position. Typical personnel security concepts include verifying identity and personal information, professional information (e.g., previous employment and education), a person’s character (e.g., through checking references), and a person’s suitability for particular job responsibilities (e.g., through checking criminal records, court records, and credit reports)."
113,Personnel security program," a system for addressing insider threats to ensure that only trusted persons are given authorized access to restricted areas. The program includes policies and procedures to ensure that persons that work within an organization are trustworthy and competent to carry out an organization’s mission. This includes conducting interviews of applicants, evaluating positions, and verifying applicant suitability "
114,Physical hazards," unsafe conditions in the workplace that can cause injury or illness. Examples include ergonomic hazards; electrical shock hazards; loud noises; slip, trip, and fall hazards; exposure to hot and cold temperatures; compressed gas cylinders; and sharps (i.e., items capable of cutting or piercing human skin such as hypodermic needles, syringes [with or without attached needles], Pasteur pipettes, scalpel blades, suture needles, blood vials, needles with attached tubing, and culture dishes [regardless of the presence of infectious agents]; and other types of broken or unbroken glassware [e.g., microscope slides and cover slips])."
115,Physical security access controls," restrictions that provide reasonable assurance that only authorized staff are allowed to enter a restricted area. The type of access controls depends on the level of security required (e.g., something one has [such as a physical or electronic key], something one knows [such as a PIN number], or some natural/innate characteristic or trait [i.e., one that can be detected by biometric devices])."
116,Physical security infrastructure," the aggregate collection of physical elements, such as locks, access controls, alarms, closed-circuit television monitoring systems, fences and other barriers, sign-in logs, and security guards, designed to protect and safeguard the physical components of a facility, including staff and other assets."
117,Plain talk, nontechnical communication that does not use technical jargon or field-specific language. The speaker or writer conveys the meaning of the communication clearly and simply so that the information is easily understood. Also referred to as “plain language.”
118,Policy," a set of basic principles or guidelines to direct plans, actions, and decisions of staff and the organization."
119,Postexamination (postanalytical phase)," processes following examination (sample analysis) that include systematic review, formatting, and interpretation; authorization for release; and reporting and transmission of the test results. This phase also includes storage of samples that have undergone laboratory analysis."
120,Pre-examination (pre-analytical phase)," processes starting with, in chronological order, the submitter’s test order and including  the examination (analysis) requisition; preparation of the patient (if applicable); collection of the primary sample; and transportation to and within the laboratory, ending when the examination (analytical) phase begins."
121,Preventive action," action that eliminates the cause(s) of a potential nonconforming event or any other potential undesirable situation. Preventive action is taken to prevent occurrence, whereas corrective action is taken to prevent recurrence."
122,Procedure, a specified way to carry out an activity of a process.
123,Process, a set of interrelated or interacting activities to achieve a particular end.
124,Process improvement indicators, metrics that track results and efficiencies gained in a laboratory following the modification of laboratory testing business processes.
125,Process management, activities that directly or indirectly relate to the laboratory’s path of workflow to optimize effectiveness and efficiency.
126,Proficiency testing," an evaluation of the laboratory’s performance on analysis of samples of external origin for the purposes of determining adequacy of the laboratory’s pre- examination, examination, and postexamination activities."
127,Project management," the practice of planning and managing laboratory projects to ensure that they stay within scope, time, quality, and cost limits."
128,Project management concepts," principles regarding the management of projects that include controlling the process, meeting management, time management, scheduling, managing resources, and team building."
129,Protected information," any information about a person that is maintained by an organization that relates to issues of privacy (the right of a person to keep his or her information private) and confidentiality (ensuring that information is accessible only to those authorized to have access). Protected information includes any information that can be used to distinguish or trace a person‘s identity and any other personal, health, or medical information that is linked or linkable to a person. "
130,Protocol, 1) a detailed plan for conducting a scientific procedure; 2) a set of technical rules for the transmission and receipt of information between computers.
131,Quality, the degree to which a set of inherent characteristics fulfills requirements.
132,Quality assessment," a means to determine the quality of the results generated by the laboratory. It is usually an external evaluation of the laboratory’s performance. Quality assessment is a challenge to the effectiveness of the quality assurance and quality control programs and can be described as a system of procedures, checks, and audits to judge and control the quality of measurements and reduce the uncertainty of data."
133,Quality assurance (QA)," planned and systematic activities implemented in a quality system so that quality requirements and goals for a product, service, or activity will be fulfilled. From a quality-improvement viewpoint, it is a system for ensuring a desired level of quality in the development, production, or delivery of products and services. From a bench- level viewpoint, it is the practice of assessing performance in all steps of the laboratory testing cycle including pre-analytical, analytical, and postanalytical phases to promote excellent outcomes in health."
134,Quality control (QC)," an integral component of quality assurance and is the aggregate of processes and techniques to detect, reduce, and correct deficiencies in an analytical process. It also refers to the measures that must be included during each assay to verify that a test is working properly."
135,Quality control (QC) data," QC measures intended to reflect the quality of laboratory testing processes and the accuracy, precision, and reliability of the test results."
136,Quality indicators," observations, statistics, or data defined by the organization or service that typify the performance of a given work process and provide evidence that the organization or service is meeting its quality intentions. Quality indicators are also referred to as “key performance indicators” or “quality metrics,” and might be reported in various formats such as a “dashboard” or “scorecard.”"
137,Quality management system (QMS)," coordinated activities to direct and control an organization with regard to quality. In a QMS, all aspects of the laboratory operation, including the organizational structure, processes and procedures, need to be addressed to ensure quality."
138,Radiation monitoring device," a scientific determination of amount, rate, and distribution of radiation emitted from a source of ionizing radiation. An example is a Geiger counter. Radiological materials radioisotopes, radioactive waste products, and chemical or biological materials that have been modified to include radioisotope labels."
139,Records," evidence of results achieved or activities performed. Records can be used, for example, to demonstrate traceability and to provide evidence of verification, preventive action, or corrective action. Generally, records need not be under revision control."
140,Reflex testing," follow-up testing when initial test results are positive or outside normal parameters and indicate that additional, related testing is clinically appropriate."
141,Regulated waste," liquid or semi-liquid blood or other potentially infectious materials, contaminated items that would release blood or other potentially infectious materials in a liquid or semi-liquid state if compressed, items that are caked with dried blood or other potentially infectious materials and are capable of releasing these materials during handling, contaminated sharps, and pathological and microbiological wastes containing blood or other potentially infectious materials."
142,Requirement, a condition or capability needed to achieve an objective that must be met or possessed by a system or system component to satisfy a standard or specification.
143,Research animal," any live animal used or intended for use in research, research training, experimentation, biological testing or for related purposes. Examples include mice and rats. When evaluating hazards of research animals, staff should consider the risks inherent to the species itself, those associated with handling the animals (e.g., bites, scratches, and allergens), and the risks associated with handling the bedding and other associated waste products."
144,Risk assessment, the stepwise process in which the risk(s) arising from working with a hazard(s) are evaluated and the resulting information is used to determine whether risk control measures can be applied to reduce those risks to acceptable risks. Risk is the combination of the probability that a hazard will cause harm and the severity of harm that may arise from contact with that hazard.
145,Risk communication," a style of communication used to exchange information and establish effective dialogue during emergency or highly sensitive situations by those responsible for assessing, minimizing, and regulating risk to those who might be affected by the outcomes of those risks."
146,Risk mitigation plan," an evaluation of threats, vulnerabilities, and consequences based on a site-specific risk assessment."
147,Root cause analysis," a process for identifying the basic or causal factor(s) that underlie variation in performance, including the occurrence or possible occurrence of a nonconforming event. Route of exposure are  the path by which humans or other living organisms come into contact with a hazardous substance. Examples include breathing (inhalation), eating or drinking (ingestion), and contact with skin (dermal absorption)."
148,Safety Data Sheet (SDS)," a fact sheet that summarizes  information regarding material identification for a chemical product or mixture, including hazardous ingredients; health, physical, and fire hazards and the necessary or suggested first aid procedures to employ; chemical reactivities and incompatibilities; spill, leak, and disposal procedures; and protective measures required for safe handling and storage."
149,Safety program," the general safety, biosafety, biosecurity, chemical, radiological, and emergency plans of an institution that all staff are required to follow in order to manage possible workplace hazards. The safety program also includes policies related to staffing, organizing safety committees, and conducting safety assessments."
150,Safety signage," a mechanism to communicate information related to hazards of a material or space. Examples include pictograms, container labels, and other posted signs."
151,Sample," a small part of, or a selection from, something intended to show the quality, style, or nature of the whole. In all domains of this competency set, “sample” is meant to include clinical and nonclinical samples and specimens."
152,Sample appropriateness," the physical, chemical, and biological characteristics of a sample that are necessary to yield accurate and representative test results."
153,Sample lifecycle," a comprehensive description of all sample processes, sample management, transfers, and data collection, with their corresponding LIMS actions throughout the period the laboratory interacts with the sample."
154,Sample management," the collection, handling, labeling, packaging, shipping, transport, accessioning, receipt, tracking, evaluation (including testing for sample appropriateness), and storage of clinical and nonclinical samples or specimens."
155,Scientific ethics," principles, rules, and standards guiding the performance of persons and the conduct of laboratory testing that include values and standards such as scientific credibility, scientific accountability, objectivity, assurance of scientific integrity, responsible collaboration, responsible authorship and peer review, adhering to intellectual property laws, and adhering to chain of custody rules and policies."
156,Scientific integrity," principles and standards such as validity, verification, and appropriateness. It also includes data integrity, by which information produced and results reported are whole, complete, and accurate; are obtained using proper methods; and are not altered by any unauthorized additions, deletions, or modifications."
157,Security concepts," aspects critical to the management of the security of an organization (including staff and other assets) and its activities. These concepts include assurance (that a security system will behave as expected), risks, threats, countermeasures, vulnerability, exploits, and defense in depth (relying on multiple security measures)."
